"Construct", "Probability", "logOddsRatio", "Hyperprior_density", "Mean_probability_hyperprior", "Variance_hyperprior", "Hyperprior_density_cumsum", "Hyperprior_density_CI", "Log_Odds_hyperprior", "Hyperprior_logOdds", "Hyperprior_logOdds_cumsum", "Hyperprior_logOdds_CI", "logOR_prior_elicitation", "variance_prior_elicitation", "Prior_qual_density", "Prior_qual_density_cumsum", "Prior_qual_density_CI", "p_Prior_qual", "Prior_qual_quantile_0.05", "Prior_qual_quantile_0.95", "Posterior_qual_only_mean", "Posterior_qual_only_variance", "Posterior_qual_only", "Posterior_qual_only_cumsum", "Posterior_qual_only_CI", "Posterior_qual_only_quantile_0.05", "Posterior_qual_only_quantile_0.95", "LOGOdds_Ratio_quant", "variance_quant", "Likelihood", "Likelihood_cumsum", "Likelihood_CI", "p_Likelihood", "Likelihood_qual_quantile_0.05", "Likelihood_qual_quantile_0.95", "posterior_QualplusQuant_mean", "posterior_QualplusQuant_variance", "Posterior_QualplusQuant", "Posterior_QualplusQuant_cumsum", "Posterior_QualplusQuant_CI", "p_Posterior_QualplusQuant", "Posterior_QualplusQuant_quantile_0.05", "Posterior_QualplusQuant_quantile_0.95", "posterior_All_mean", "posterior_All_variance", "posterior_All", "posterior_All_cumsum", "posterior_All_CI", "posterior_All_quantile_0.05", "posterior_All_quantile_0.95"
"SocialSupport", 0.03003003003003, -0.90990990990991, 9.29294124099176e-101, 0.433382295, 0.0189523150981809, 1.37483513854285e-100, "outside CI", -0.268064597507936, 5.60429372446681e-251, 5.630268062462e-251, "outside CI", 2.42829675606567, 0, NA, NA, NA, 0, 2.42829675606567, 2.42829675606567, NA, 0, NA, NA, NA, NA, NA, 0.76, 0.0657973626739291, 2.45825565656638e-142, 3.58026078883428e-142, "outside CI", 2.11896394630066e-142, 0.651772969361946, 0.868227030638054, NA, 0, NA, NA, NA, NA, NA, NA, NA, 0, NA, NA, NA, NA, NA
"SocialSupport", 0.031031031031031, -0.906906906906907, 2.85578881707539e-100, 0.433382295, 0.0189523150981809, 4.23062395561824e-100, "outside CI", -0.268064597507936, 1.18454602861215e-248, 1.19017629667462e-248, "outside CI", 2.42829675606567, 0, NA, NA, NA, 0, 2.42829675606567, 2.42829675606567, NA, 0, NA, NA, NA, NA, NA, 0.76, 0.0657973626739291, 7.8204277549404e-142, 1.14006885437747e-141, "outside CI", 6.75314868263979e-142, 0.651772969361946, 0.868227030638054, NA, 0, NA, NA, NA, NA, NA, NA, NA, 0, NA, NA, NA, NA, NA
"SocialSupport", 0.032032032032032, -0.903903903903904, 8.75160023159538e-100, 0.433382295, 0.0189523150981809, 1.29822241872136e-99, "outside CI", -0.268064597507936, 2.44162722105397e-246, 2.45352898402072e-246, "outside CI", 2.42829675606567, 0, NA, NA, NA, 0, 2.42829675606567, 2.42829675606567, NA, 0, NA, NA, NA, NA, NA, 0.76, 0.0657973626739291, 2.48272903441567e-141, 3.62279788879314e-141, "outside CI", 2.14776027763665e-141, 0.651772969361946, 0.868227030638054, NA, 0, NA, NA, NA, NA, NA, NA, NA, 0, NA, NA, NA, NA, NA
"SocialSupport", 0.033033033033033, -0.900900900900901, 2.67446758524802e-99, 0.433382295, 0.0189523150981809, 3.97269000396938e-99, "outside CI", -0.268064597507936, 4.90798402167013e-244, 4.93251931151034e-244, "outside CI", 2.42829675606567, 0, NA, NA, NA, 0, 2.42829675606567, 2.42829675606567, NA, 0, NA, NA, NA, NA, NA, 0.76, 0.0657973626739291, 7.86544849441835e-141, 1.14882463832115e-140, "outside CI", 6.81650967348e-141, 0.651772969361946, 0.868227030638054, NA, 0, NA, NA, NA, NA, NA, NA, NA, 0, NA, NA, NA, NA, NA
"SocialSupport", 0.034034034034034, -0.897897897897898, 8.15033934093657e-99, 0.433382295, 0.0189523150981809, 1.2123029344906e-98, "outside CI", -0.268064597507936, 9.62106806593357e-242, 9.67039325904867e-242, "outside CI", 2.42829675606567, 0, NA, NA, NA, 0, 2.42829675606567, 2.42829675606567, NA, 0, NA, NA, NA, NA, NA, 0.76, 0.0657973626739291, 2.48664056116877e-140, 3.63546519948992e-140, "outside CI", 2.15891261947846e-140, 0.651772969361946, 0.868227030638054, NA, 0, NA, NA, NA, NA, NA, NA, NA, 0, NA, NA, NA, NA, NA
"SocialSupport", 0.035035035035035, -0.894894894894895, 2.47686609635015e-98, 0.433382295, 0.0189523150981809, 3.68916903084075e-98, "outside CI", -0.268064597507936, 1.83924591042136e-239, 1.84891630368041e-239, "outside CI", 2.42829675606567, 0, NA, NA, NA, 0, 2.42829675606567, 2.42829675606567, NA, 0, NA, NA, NA, NA, NA, 0.76, 0.0657973626739291, 7.84508925364236e-140, 1.14805544531323e-139, "outside CI", 6.82346297945944e-140, 0.651772969361946, 0.868227030638054, NA, 0, NA, NA, NA, NA, NA, NA, NA, 0, NA, NA, NA, NA, NA
"SocialSupport", 0.036036036036036, -0.891891891891892, 7.50616057805961e-98, 0.433382295, 0.0189523150981809, 1.11953296089004e-97, "outside CI", -0.268064597507936, 3.42888307486519e-237, 3.447372237902e-237, "outside CI", 2.42829675606567, 0, NA, NA, NA, 0, 2.42829675606567, 2.42829675606567, NA, 0, NA, NA, NA, NA, NA, 0.76, 0.0657973626739291, 2.46989287892689e-139, 3.61794832424012e-139, "outside CI", 2.15214428737158e-139, 0.651772969361946, 0.868227030638054, NA, 0, NA, NA, NA, NA, NA, NA, NA, 0, NA, NA, NA, NA, NA
"SocialSupport", 0.037037037037037, -0.888888888888889, 2.26841054981204e-97, 0.433382295, 0.0189523150981809, 3.38794351070208e-97, "outside CI", -0.268064597507936, 6.23392994743708e-235, 6.2684036698161e-235, "outside CI", 2.42829675606567, 0, NA, NA, NA, 0, 2.42829675606567, 2.42829675606567, NA, 0, NA, NA, NA, NA, NA, 0.76, 0.0657973626739291, 7.75985668851701e-139, 1.13778050127571e-138, "outside CI", 6.77383642303648e-139, 0.651772969361946, 0.868227030638054, NA, 0, NA, NA, NA, NA, NA, NA, NA, 0, NA, NA, NA, NA, NA
"SocialSupport", 0.038038038038038, -0.885885885885886, 6.83618726388678e-97, 0.433382295, 0.0189523150981809, 1.02241307745889e-96, "outside CI", -0.268064597507936, 1.10526781669358e-232, 1.11153622036339e-232, "outside CI", 2.42829675606567, 0, NA, NA, NA, 0, 2.42829675606567, 2.42829675606567, NA, 0, NA, NA, NA, NA, NA, 0.76, 0.0657973626739291, 2.43290212015591e-138, 3.57068262143162e-138, "outside CI", 2.12762363337914e-138, 0.651772969361946, 0.868227030638054, NA, 0, NA, NA, NA, NA, NA, NA, NA, 0, NA, NA, NA, NA, NA
"SocialSupport", 0.039039039039039, -0.882882882882883, 2.05444598927625e-96, 0.433382295, 0.0189523150981809, 3.07685906673513e-96, "outside CI", -0.268064597507936, 1.91103876191215e-230, 1.92215412411579e-230, "outside CI", 2.42829675606567, 0, NA, NA, NA, 0, 2.42829675606567, 2.42829675606567, NA, 0, NA, NA, NA, NA, NA, 0.76, 0.0657973626739291, 7.61186236038426e-138, 1.11825449818159e-137, "outside CI", 6.66886141139903e-138, 0.651772969361946, 0.868227030638054, NA, 0, NA, NA, NA, NA, NA, NA, NA, 0, NA, NA, NA, NA, NA
